År,Antal dgr,Tabellnr,Inkomst fr.o.m.,Inkomst t.o.m.,Kolumn 1,Kolumn 2,Kolumn 3,Kolumn 4,Kolumn 5,Kolumn 6,
2019,30B,32,17901,18000,3594,3594,1493,4907,5106,5106,
2019,30B,32,18001,18100,3622,3632,1504,4941,5141,5141,
2019,30B,32,18101,18200,3650,3671,1515,4975,5176,5176,
2019,30B,32,18201,18300,3678,3706,1541,5009,5210,5210,
2019,30B,32,18301,18400,3707,3744,1574,5045,5248,5248,
2019,30B,32,18401,18500,3735,3781,1606,5079,5282,5282,
2019,30B,32,18501,18600,3763,3816,1636,5113,5317,5317,
2019,30B,32,18601,18700,3791,3853,1668,5147,5352,5352,
2019,30B,32,18701,18800,3819,3890,1700,5181,5386,5386,
2019,30B,32,18801,18900,3847,3925,1730,5218,5424,5424,
2019,30B,32,18901,19000,3876,3962,1762,5251,5458,5458,
2019,30B,32,19001,19100,3904,4000,1795,5285,5493,5493,
2019,30B,32,19101,19200,3932,4034,1824,5319,5528,5528,
